idx,seed,dim,vars,rho_max,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
0,0,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2606106759347968,0.2,2.0,2.0,-1.0,0,0,50,50,0.17785512900026715,[57.10031215]
0,1,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.22678937691312773,0.3349678126174291,1.990870174183882,1.8989821295774763,-0.9290437248168824,0,0,50,47,0.3008043441518942,[59.823071]
0,2,7,xc1 dx a1 a2 d1 d2 Ir,25,1.9866540850008174,0.29292928986355465,-0.01,-0.02,0.22798232505133795,0.9304800524206422,2.670997756258899,2.471939978137047,-0.8434916714916922,0,0,67,62,0.00012861342473447168,[48.85316834]
0,3,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.4799953050652228,-0.01,-0.02,0.2,1.0,2.2514406082161083,1.1310577184796262,-1.0,0,0,56,28,9.841846096741136,[72.68891515]
0,4,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.1330301913591798,1.8031820289701497,-0.2377230591526456,0,0,28,45,0.1052472968575649,[51.73568929]
0,5,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,1.0,0.5498083078051331,2.4797971494798614,2.844649993330834,-1.0,0,0,62,71,0.5043088409473859,[88.36385595]
0,6,7,xc1 dx a1 a2 d1 d2 Ir,25,1.5001324769892224,0.797287735929599,-0.01,-0.02,0.4982440186119908,0.7683289117676276,1.000903429770142,2.3256371257675355,-0.2652311459432398,0,0,25,58,1.999699810695646e-11,[55.99819061]
0,7,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.5034951398695078,2.0717640086133784,1.731377833825171,-1.0,0,0,52,43,0.2279634344244048,[58.62127716]
0,8,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.1703705361015053,1.4948819698581701,-0.46343789066222796,0,0,29,37,0.041898533386659595,[47.91814244]
0,9,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2,1.0128701081622467,2.0055641601044165,-0.12745259766904,0,0,25,50,0.10898871153861625,[53.94640665]
0,10,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2728715521010622,0.2,2.62664250271464,2.647177745066891,-1.0,0,0,66,66,0.7754902874050938,[72.97350518]
0,11,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.42623634066744354,0.2,2.015682546124542,2.1747696576997937,-1.0,0,0,50,54,0.2519605773410584,[60.92294723]
0,12,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.2917073744951371,-0.01,-0.02,0.2,0.2,1.021720886180136,1.7495089841267288,-0.33292709112335356,0,0,26,44,0.06657611506209085,[2.91856175]
0,13,7,xc1 dx a1 a2 d1 d2 Ir,25,1.4652200919550213,0.1285898313254564,-0.01,-0.02,0.2007020893729536,0.3607757549323104,1.3714483477474708,1.4611172179309362,-0.7227714518007811,0,0,34,37,9.283544084603241e-11,[55.99677163]
0,14,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.20865423700362892,0.2,1.5422304531206463,1.5115510268660783,-1.0,0,0,39,38,0.03768608648990619,[47.83453722]
0,15,7,xc1 dx a1 a2 d1 d2 Ir,25,2.0,0.1,-0.01,-0.02,0.2,1.0,2.9726789033256464,1.0337613084159525,-1.0,0,0,74,26,1820.8276847908471,[28.36362311]
0,16,7,xc1 dx a1 a2 d1 d2 Ir,25,1.7623112955520022,0.31300865060150307,-0.01,-0.02,0.23929205122743047,0.3218231576588803,1.8190314598997923,2.3154116527885416,-0.6458129495621264,0,0,45,58,8.945392353132446e-07,[56.32275657]
0,17,7,xc1 dx a1 a2 d1 d2 Ir,25,-3.0,0.1,-0.01,-0.02,0.2,0.2500232919168979,2.5322148755959053,2.4084397336868255,-1.0,0,0,63,60,0.5505060054241626,[68.58249693]
