run,dim,vars,xc1,dx,z1,z2,a1,a2,d1,d2,Ir,ex1,ex2,n1,n2,U,angle
55,5,xc1 a2 d1 d2 ex1,2.0,1.0,-0.01,-0.02,0.2,0.29420847372930586,2.0,2.0,-1.0,0.9,0,1,1,2.0349162180002498e-05,[55.91511076]
56,5,xc1 a2 d1 d2 ex2,1.6015360515398112,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0,-0.28163704355443797,8,8,0.04344287968163738,[42.74470549]
57,5,xc1 a2 d1 d2 Ir,-3.0,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-0.3691115118674901,0,0,8,8,0.5371167482530639,[71.07842631]
58,5,xc1 a2 d1 ex1 ex2,1.960942618548374,1.0,-0.01,-0.02,0.2,0.2920336982843418,2.0,2.0,-1.0,0.9,-0.9,1,1,2.4356032923214538e-05,[55.62697328]
59,5,xc1 a2 d1 ex1 Ir,2.0,1.0,-0.01,-0.02,0.2,0.9414147095039724,2.0,2.0,-0.14249285871200204,0.9,0,1,1,2.2097002144870617e-05,[36.12373755]
60,5,xc1 a2 d1 ex2 Ir,-0.831775500875829,1.0,-0.01,-0.02,0.2,0.24506002190827778,2.0,2.0,-0.7237138273726339,0,-0.7770687338634354,8,8,5.341229858936169e-11,[56.00074819]
61,5,xc1 a2 d2 ex1 ex2,1.960942618548374,1.0,-0.01,-0.02,0.2,0.2920336982843418,2.0,2.0,-1.0,0.9,-0.9,1,1,2.4356032923214538e-05,[55.62697328]
62,5,xc1 a2 d2 ex1 Ir,2.0,1.0,-0.01,-0.02,0.2,0.9414147095039724,2.0,2.0,-0.14249285871200204,0.9,0,1,1,2.2097002144870617e-05,[36.12373755]
63,5,xc1 a2 d2 ex2 Ir,-0.831775500875829,1.0,-0.01,-0.02,0.2,0.24506002190827778,2.0,2.0,-0.7237138273726339,0,-0.7770687338634354,8,8,5.341229858936169e-11,[56.00074819]
64,5,xc1 a2 ex1 ex2 Ir,2.0,1.0,-0.01,-0.02,0.2,1.0,2.0,2.0,-0.12473699773646578,0.9,-0.9,1,1,2.081271666174749e-05,[36.1035045]
65,5,xc1 d1 d2 ex1 ex2,1.5722077689792897,1.0,-0.01,-0.02,0.2,0.2,2.0,2.0,-1.0,0.9,-0.9,1,1,0.0001943240433116091,[57.19206721]
